publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	full_coverage	collection	discipline	catalog_identifier_oclc	catalog_identifier_lccn
Music Supervisors' Bulletin	1559-2464		1914-09-01	1	1	1915-03-01	1	4	http://www.jstor.org/journal/musisupebull		musisupebull		fulltext		Sage Publications, Inc.	serial						musisupej		P	1914-09-01 - 1915-03-01	For-Profit Academic Arts & Sciences IV Collection ; Music Collection ; Arts & Sciences IV Collection	Arts ; Education ; Music ; Social Sciences	70103607	2006-236977
Music Supervisors' Journal	1559-2472		1915-09-01	2	1	1934-05-01	20	5	http://www.jstor.org/journal/musisupej		musisupej		fulltext		Sage Publications, Inc.	serial						musiceducatorsj	musisupebull	P	1915-09-01 - 1934-05-01	For-Profit Academic Arts & Sciences IV Collection ; Music Collection ; Arts & Sciences IV Collection	Arts ; Education ; Music ; Social Sciences	70103608	2006-236976
Music Theory Spectrum	0195-6167	1533-8339	1979-04-01	1		2012-10-01	34	2	http://www.jstor.org/journal/musitheospec		musitheospec	P4Y	fulltext			serial								P	1979-04-01 - 2012-10-01	Music Legacy Collection ; Arts & Sciences III Collection ; Music Collection ; Corporate & For-Profit Access Initiative Collection	Arts ; Music	45918171	2001-214628
Musica Disciplina	0077-2461		1948-01-01	2	1/2	2012-01-01	57		http://www.jstor.org/journal/musidisc		musidisc	P4Y	fulltext		American Institute of Musicology Verlag Corpusmusicae, GmbH	serial							jrenabaromusi	P	1948-01-01 - 2012-01-01	Music Collection ; Arts & Sciences VIII Collection	Arts ; Music	264797593	2009235777
Musica Judaica	0147-7536		1975-01-01	1	1	2003-01-01	17		http://www.jstor.org/journal/musicajudaica		musicajudaica	P2Y	fulltext		American Society for Jewish Music	serial								P	1975-01-01 - 2003-01-01	Music Collection ; Jewish Studies ; Arts & Sciences XV Collection	Area Studies ; Arts ; Jewish Studies ; Music	639542420	
The Musical Quarterly	0027-4631	1741-8399	1915-01-01	1	1	2010-10-01	93	3/4	http://www.jstor.org/journal/musicalquarterly		musicalquarterly	P6Y	fulltext		Oxford University Press	serial								P	1915-01-01 - 2010-10-01	Music Legacy Collection ; Arts & Sciences III Collection ; Music Collection	Arts ; Music	53165498	2004-235646
The Musical Times	0027-4666	2397-5318	1904-01-01	45	731	2012-12-01	153	1921	http://www.jstor.org/journal/musicaltimes		musicaltimes	P4Y	fulltext		Musical Times Publications Ltd.	serial							musitimesingclas	P	1904-01-01 - 2012-12-01	Music Legacy Collection ; Arts & Sciences III Collection ; Music Collection ; Corporate & For-Profit Access Initiative Collection	Arts ; Music	53165808	2004-235602
The Musical Times and Singing Class Circular	0958-8434		1844-06-01	1	1	1903-12-01	44	730	http://www.jstor.org/journal/musitimesingclas		musitimesingclas		fulltext		Musical Times Publications Ltd.	serial						musicaltimes		P	1844-06-01 - 1903-12-01	Music Legacy Collection ; Arts & Sciences III Collection ; Music Collection ; Corporate & For-Profit Access Initiative Collection	Arts ; Music	53211077	2006-236980
Musurgia	1257-7537		1994-01-01	1	1	2005-01-01	12	4	http://www.jstor.org/journal/musurgia		musurgia	P11Y	fulltext		Editions ESKA	serial								P	1994-01-01 - 2005-01-01	Music Collection ; Arts & Sciences VIII Collection	Arts ; Music	609713902	2010235177
Mycologia	0027-5514	1557-2536	1909-01-01	1	1	2012-11-01	104	6	http://www.jstor.org/journal/mycologia		mycologia	P4Y	fulltext		Mycological Society of America	serial							mycobull	P	1909-01-01 - 2012-11-01	Biological Sciences Collection ; Life Sciences Collection ; Corporate & For-Profit Access Initiative Collection ; Ecology & Botany II Collection	Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics	51635219	2005-214998
Mycological Bulletin	1949-4637		1904-02-27	2	13	1908-03-01	6	87	http://www.jstor.org/journal/mycobull		mycobull		fulltext		Mycological Society of America	serial						mycologia	ohiomycobull	P	1904-02-27 - 1908-03-01	Biological Sciences Collection ; Life Sciences Collection ; Corporate & For-Profit Access Initiative Collection ; Ecology & Botany II Collection	Biological Sciences ; Botany & Plant Sciences ; Science & Mathematics	297229808	2009-235755
Mystics Quarterly	0742-5503		1984-03-01	10	1	2009-09-01	35	3/4	http://www.jstor.org/journal/mysticsquarterly		mysticsquarterly		fulltext		Penn State University Press	serial						jmedirelicult	14centengmystnew	P	1984-03-01 - 2009-09-01	Pennsylvania State University Press Package ; Religion Discipline Package ; Arts & Sciences V Collection ; Religion & Theology Collection	Humanities ; Religion	60628557	2010-250754
Narrative	1063-3685	1538-974X	1993-01-01	1	1	2011-10-01	19	3	http://www.jstor.org/journal/narrative		narrative		fulltext	Coverage presently ends: 2011. JSTOR will resume a moving wall of 5 years in 2017.	Ohio State University Press	serial								P	1993-01-01 - 2011-10-01	Arts & Sciences V Collection	Humanities ; Language & Literature	49210186	2002-211379
Nashim: A Journal of Jewish Women's Studies & Gender Issues	0793-8934	1565-5288	1998-01-01		1	2012-04-01		23	http://www.jstor.org/journal/nashim		nashim	P4Y	fulltext		Indiana University Press	serial								P	1998-01-01 - 2012-04-01	Feminist & Women's Studies Discipline Package ; Indiana University Press Package ; Jewish Studies ; Corporate & For-Profit Access Initiative Collection ; Arts & Sciences IX Collection	Area Studies ; Jewish Studies	54702421	2005-238622
National Academy Notes including the Complete Catalogue of the Spring Exhibition, National Academy of Design	2152-8578		1884-01-01		4	1889-01-01		9	http://www.jstor.org/journal/naacnicocasenacd		naacnicocasenacd		fulltext	Publication of this title ceased in 1889.		serial							ilarnoupanexnaad	P	1884-01-01 - 1889-01-01	Arts & Sciences VIII Collection	Art & Art History ; Arts	631407153	2010234993
The National Cactus and Succulent Journal	0027-8858	2057-0325	1946-09-01	1	3	1982-12-01	37	4	http://www.jstor.org/journal/naticactsuccj		naticactsuccj		fulltext		British Cactus and Succulent Society	serial						britcactsuccj	cactsuccjgrebrit	P	1946-09-01 - 1982-12-01	Ecology & Botany II Collection	Botany & Plant Sciences ; Science & Mathematics	712487446	
National Gallery Technical Bulletin	0140-7430		1977-09-01	1		2012-01-01	33		http://www.jstor.org/journal/natigalltechbull		natigalltechbull	P4Y	fulltext		National Gallery Company Limited	serial								P	1977-09-01 - 2012-01-01	Arts & Sciences XIII Collection	Art & Art History ; Arts	607618669	
National Institute Economic Review	0027-9501	1741-3036	1959-01-01		1	2012-10-01		222	http://www.jstor.org/journal/natiinsteconrevi		natiinsteconrevi	P4Y	fulltext		Sage Publications, Ltd.	serial								P	1959-01-01 - 2012-10-01	Business IV Collection ; Business & Economics Collection	Business & Economics ; Economics	47295544	2005233957
The National Interest	0884-9382	1938-1573	1985-10-01		1	2012-11-01		122	http://www.jstor.org/journal/nationalinterest		nationalinterest	P4Y	fulltext		Center for the National Interest	serial								P	1985-10-01 - 2012-11-01	Arts & Sciences XII Collection	International Relations ; Political Science ; Social Sciences	50749669	2004255126
The National Magazine	2009-1656		1830-07-01	1	1	1831-01-01	2	4	http://www.jstor.org/journal/nationalmagazine		nationalmagazine		fulltext	Publication of this title ceased in 1831.		serial							dubllitegaze	P	1830-07-01 - 1831-01-01	Ireland Collection	Area Studies ; Irish Studies	320637451	2009-235097
National Marketing Review	0190-9509		1935-07-01	1	1	1936-04-01	1	4	http://www.jstor.org/journal/natimarkrevi		natimarkrevi		fulltext		American Marketing Association	serial						jmarketing	amermarkj	P	1935-07-01 - 1936-04-01	Arts & Sciences VII Collection ; Business & Economics Collection ; Business II Collection ; Corporate & For-Profit Access Initiative Collection	Business ; Business & Economics ; Marketing & Advertising	299097475	2009-235054
National Mathematics Magazine	1539-5588		1934-10-01	9	1	1945-11-01	20	2	http://www.jstor.org/journal/natimathmaga		natimathmaga		fulltext		Mathematical Association of America	serial						mathnewslett	mathmaga	P	1934-10-01 - 1945-11-01	Arts & Sciences II Collection ; Mathematics & Statistics Legacy Collection ; Mathematical Association of America Package ; Mathematics & Statistics Collection ; Science, Technology & Mathematics Discipline Package ; Corporate & For-Profit Access Initiative Collection	Mathematics ; Science & Mathematics	51205237	2002-227240
National News Letter of Phi Delta Kappa	1944-0995		1915-11-01	1	1	1916-06-01	1	4	http://www.jstor.org/journal/nnewletphidelkap		nnewletphidelkap		fulltext		Phi Delta Kappa International	serial						phideltkapp		P	1915-11-01 - 1916-06-01	Arts & Sciences VI Collection	Education ; Social Sciences	428842406	2009-235257
National Tax Journal	0028-0283	1944-7477	1948-03-01	1	1	2013-12-01	66	4	http://www.jstor.org/journal/natitaxjour		natitaxjour	P3Y	fulltext		National Tax Association	serial							bullnatitaxasso	P	1948-03-01 - 2013-12-01	Business IV Collection ; Business & Economics Collection	Business ; Business & Economics ; Finance	54787796	2008-212221
