publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	full_coverage	collection	discipline	catalog_identifier_oclc	catalog_identifier_lccn
14th Century English Mystics Newsletter	0737-5840		1974-12-01	1	1	1983-12-01	9	4	http://www.jstor.org/journal/14centengmystnew		14centengmystnew		fulltext		Penn State University Press	serial						mysticsquarterly		P	1974-12-01 - 1983-12-01	Pennsylvania State University Press Package ; Religion Discipline Package ; Arts & Sciences V Collection ; Religion & Theology Collection	Humanities ; Religion	646932378	2010-250763
19th-Century Music	0148-2076	1533-8606	1977-07-01	1	1	2012-11-01	36	2	http://www.jstor.org/journal/19thcenturymusic		19thcenturymusic	P4Y	fulltext		University of California Press	serial								P	1977-07-01 - 2012-11-01	Music Legacy Collection ; Arts & Sciences III Collection ; Music Collection ; Corporate & For-Profit Access Initiative Collection	Arts ; Music	45954950	2001-214642
291	1054-7193		1915-03-01		1	1916-02-01		12	http://www.jstor.org/journal/291		291		fulltext	Publication of this title ceased in 1916.		serial								P	1915-03-01 - 1916-02-01	Arts & Sciences VIII Collection	Art & Art History ; Arts	448035264	2009235703
4S Review	0738-0526		1983-04-01	1	1	1985-12-01	3	4	http://www.jstor.org/journal/4sreview		4sreview		fulltext		Sage Publications, Inc.	serial						scietechstud	newsscietechhuma	P	1983-04-01 - 1985-12-01	Arts & Sciences II Collection	History ; History of Science & Technology	51204959	2002-227220
AA Files	0261-6823		1981-12-01		1	2016-01-01		72	http://www.jstor.org/journal/aafiles		aafiles	P1Y	fulltext		Architectural Association School of Architecture	serial								P	1981-12-01 - 2016-01-01	Arts & Sciences XI Collection	Architecture & Architectural History ; Arts	607455921	2013234419
AAA: Arbeiten aus Anglistik und Amerikanistik	0171-5410		1976-01-01		1	2014-01-01	39	2	http://www.jstor.org/journal/aaaarbeanglamer		aaaarbeanglamer	P2Y	fulltext		Narr Francke Attempto Verlag GmbH Co. KG	serial								P	1976-01-01 - 2014-01-01	Arts & Sciences XIII Collection	American Studies ; Area Studies ; Humanities ; Language & Literature	67618945	
AATSEEL Journal	2325-7695	2379-8165	1954-03-15	12	1	1956-12-15	14	4	http://www.jstor.org/journal/aatseeljournal		aatseeljournal		fulltext		American Association of Teachers of Slavic and East European Languages	serial						slaveasteuroj	bamerteacslavic	P	1954-03-15 - 1956-12-15	Arts & Sciences II Collection ; Corporate & For-Profit Access Initiative Collection	Area Studies ; Humanities ; Language & Literature ; Slavic Studies	891467827	2015202872
AAUP Bulletin	0001-026X		1956-04-01	42	1	1978-12-01	64	4	http://www.jstor.org/journal/aaupbulletin		aaupbulletin		fulltext		American Association of University Professors	serial						academe	bulamassunivprof	P	1956-04-01 - 1978-12-01	Arts & Sciences VIII Collection ; Corporate & For-Profit Access Initiative Collection	Education ; Social Sciences	527923840	2010234817
A.A.V. Newsletter	2154-6312		1980-09-01	1	1	1986-10-01	7	3	http://www.jstor.org/journal/aavnewsletter		aavnewsletter		fulltext		Association of Avian Veterinarians	serial						aavtoday		P	1980-09-01 - 1986-10-01	Biological Sciences Collection ; Life Sciences Collection	Biological Sciences ; Science & Mathematics ; Zoology	729520484	2011235736
AAV Today	0892-9904		1987-01-01	1	1	1988-12-01	2	4	http://www.jstor.org/journal/aavtoday		aavtoday		fulltext		Association of Avian Veterinarians	serial						jassoavianvet	aavnewsletter	P	1987-01-01 - 1988-12-01	Biological Sciences Collection ; Life Sciences Collection	Biological Sciences ; Science & Mathematics ; Zoology	432344352	2009-235682
ABA Journal	0747-0088	2162-7983	1984-01-01	70	1	2012-12-01	98	12	http://www.jstor.org/journal/abaj		abaj	P4Y	fulltext		American Bar Association	serial							amerbarassoj	P	1984-01-01 - 2012-12-01	Arts & Sciences XII Collection	Law ; Law	38291739	2009-268193
ABA Journal of Affordable Housing & Community Development Law	1061-4354	2163-0305	1991-10-01	1	1	1994-07-01	3	4	http://www.jstor.org/journal/abajafhocodela		abajafhocodela		fulltext		American Bar Association	serial						jaffhoucomdevlaw		P	1991-10-01 - 1994-07-01	Arts & Sciences X Collection	Law ; Law	299167014	2010250830
ABA Journal of Labor & Employment Law	2156-4809	2329-4604	2009-10-01	25	1	2012-10-01	28	1	http://www.jstor.org/journal/abajlabemplaw		abajlabemplaw	P4Y	fulltext		American Bar Association	serial							laborlawyer	P	2009-10-01 - 2012-10-01	Arts & Sciences X Collection ; Business & Economics Collection	Business & Economics ; Labor & Employment Relations ; Law ; Law	659741763	2011-268518
Ábaco	0213-6252		1986-07-01		1	2012-01-01		74	http://www.jstor.org/journal/abaco		abaco	P4Y	fulltext		Centro de Iniciativas Culturales y Estudios Economicos y Sociales (CICEES)	serial								P	1986-07-01 - 2012-01-01	Iberoamérica Collection ; Business & Economics Collection ; Arts & Sciences IX Collection	Business & Economics ; Economics	60622761	2011234610
Aboriginal History	0314-8769	1837-9389	1977-01-01	1	1/2	2015-01-01	39		http://www.jstor.org/journal/aborhist		aborhist	P1Y	fulltext		ANU Press	serial								P	1977-01-01 - 2015-01-01	Arts & Sciences XIV Collection	Anthropology ; History ; History ; Social Sciences	559279177	
Abstract of Sanitary Reports	2327-6274	2327-6266	1890-01-17	5	3	1895-12-20	10	51	http://www.jstor.org/journal/abstsanirepo		abstsanirepo		fulltext		Association of Schools of Public Health	serial						publhealrepo1896		P	1890-01-17 - 1895-12-20	Arts & Sciences VII Collection		367943689	2009247730
Abstracta Botanica	0133-6215	2498-4795	1971-01-01	1		1998-01-01	22		http://www.jstor.org/journal/abstbota		abstbota		fulltext		Akadémiai Kiadó	serial						coenoses		P	1971-01-01 - 1998-01-01	Ecology & Botany II Collection	Botany & Plant Sciences ; Ecology & Evolutionary Biology ; Science & Mathematics ; Zoology	60617803	
Abstracts of the Papers Communicated to the Royal Society of London	0365-0855		1843-01-01	5		1850-01-01	6		http://www.jstor.org/journal/abstpapecommroya		abstpapecommroya		fulltext		Royal Society	serial						procroyasocilon3	abstpapeprinphil	P	1843-01-01 - 1850-01-01	Mathematics & Statistics Legacy Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection	Biological Sciences ; General Science ; Mathematics ; Science & Mathematics	45610586	00-227484
Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London	0365-5695		1800-01-01	1		1837-01-01	4		http://www.jstor.org/journal/abstpapeprinphil		abstpapeprinphil		fulltext		Royal Society	serial						procroyasocilon3	abstpapecommroya	P	1800-01-01 - 1837-01-01	Mathematics & Statistics Legacy Collection ; Mathematics & Statistics Collection ; Life Sciences Collection ; Health & General Sciences Collection	Biological Sciences ; General Science ; Mathematics ; Science & Mathematics	45610580	00-227483
ACA Newsletter	2372-1162	2375-3587	1972-04-01	2	1	1973-10-01	3	3	http://www.jstor.org/journal/acanewsletter		acanewsletter		fulltext		Arms Control Association	serial						armscontroltoday		P	1972-04-01 - 1973-10-01	Arts & Sciences XII Collection	Peace & Conflict Studies ; Political Science ; Social Sciences	881534963	
Academe	0190-2946	2162-5247	1979-02-01	65	1	2012-11-01	98	6	http://www.jstor.org/journal/academe		academe	P4Y	fulltext		American Association of University Professors	serial							aaupbulletin	P	1979-02-01 - 2012-11-01	Arts & Sciences VIII Collection ; Corporate & For-Profit Access Initiative Collection	Education ; Social Sciences	61312813	2010234816
The Academy of Management Executive (1987-1989)	0896-3789		1987-02-01	1	1	1989-11-01	3	4	http://www.jstor.org/journal/acadmanaexec		acadmanaexec		fulltext		Academy of Management	serial						executive		P	1987-02-01 - 1989-11-01	Arts & Sciences VI Collection ; Business & Economics Collection ; Business II Collection ; Corporate & For-Profit Access Initiative Collection	Business ; Business & Economics ; Management & Organizational Behavior	214280975	2008-234573
The Academy of Management Executive (1993-2005)	1079-5545		1993-05-01	7	2	2005-11-01	19	4	http://www.jstor.org/journal/acadmanaexe2		acadmanaexe2		fulltext		Academy of Management	serial						acadmanapers	executive	P	1993-05-01 - 2005-11-01	Arts & Sciences VI Collection ; Business & Economics Collection ; Business II Collection ; Corporate & For-Profit Access Initiative Collection	Business ; Business & Economics ; Management & Organizational Behavior	48060993	2001-255007
The Academy of Management Journal	0001-4273		1963-03-01	6	1	2010-12-01	53	6	http://www.jstor.org/journal/acadmanaj		acadmanaj		fulltext		Academy of Management	serial						acadmanarevi	jacadmana	P	1963-03-01 - 2010-12-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Business & Economics Collection ; Corporate & For-Profit Access Initiative Collection ; Business I Collection	Business ; Business & Economics ; Management & Organizational Behavior ; Social Sciences ; Sociology	48418838	2001-227361
Academy of Management Learning & Education	1537-260X		2002-09-01	1	1	2010-12-01	9	4	http://www.jstor.org/journal/acadmanaleareduc		acadmanaleareduc	P6Y	fulltext		Academy of Management	serial								P	2002-09-01 - 2010-12-01	Arts & Sciences X Collection ; Business & Economics Collection ; Corporate & For-Profit Access Initiative Collection ; Business III Collection	Business ; Business & Economics ; Education ; Management & Organizational Behavior ; Social Sciences	54659710	2008-214672
Academy of Management Perspectives	1558-9080	1943-4529	2006-02-01	20	1	2010-11-01	24	4	http://www.jstor.org/journal/acadmanapers		acadmanapers	P6Y	fulltext		Academy of Management	serial							acadmanaexe2	P	2006-02-01 - 2010-11-01	Arts & Sciences VI Collection ; Business & Economics Collection ; Corporate & For-Profit Access Initiative Collection ; Business II Collection	Business ; Business & Economics ; Management & Organizational Behavior	67618417	2008-214628
The Academy of Management Review	0363-7425		1976-01-01	1	1	2010-10-01	35	4	http://www.jstor.org/journal/acadmanarevi		acadmanarevi	P6Y	fulltext		Academy of Management	serial							acadmanaj	P	1976-01-01 - 2010-10-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Business & Economics Collection ; Corporate & For-Profit Access Initiative Collection ; Business I Collection	Business ; Business & Economics ; Management & Organizational Behavior ; Social Sciences ; Sociology	48415494	2001-227337
Acadiensis	0044-5851		1971-10-01	1	1	2013-07-01	42	2	http://www.jstor.org/journal/acadiensis		acadiensis	P3Y	fulltext		Acadiensis: Journal of the History of the Atlantic Region	serial								P	1971-10-01 - 2013-07-01	Arts & Sciences VIII Collection	History ; History	607655017	2011-235767
The Accounting Historians Journal	0148-4184		1974-01-01	1	1/4	2012-12-01	39	2	http://www.jstor.org/journal/accohistjour		accohistjour	P4Y	fulltext		The Academy of Accounting Historians	serial								P	1974-01-01 - 2012-12-01	Business & Economics Collection ; Arts & Sciences IX Collection ; Business III Collection	Business ; Business & Economics ; Economics ; Finance ; History ; History	60622645, 742574958	2007-263047, 2011-234611
The Accounting Review	0001-4826		1926-03-01	1	1	2010-11-01	85	6	http://www.jstor.org/journal/accountingreview		accountingreview	P6Y	fulltext		American Accounting Association	serial								P	1926-03-01 - 2010-11-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Business & Economics Collection ; Business I Collection	Business ; Business & Economics	48415532	2001-227339
Acquisitions (Fogg Art Museum)	0440-3800		1959-01-01		1959/1962	1969-01-01		1969/1970	http://www.jstor.org/journal/acqufogg		acqufogg		fulltext	Publication of this title ceased in 1970.	The President and Fellows of Harvard College	serial						direrepo	annurepofogg	P	1959-01-01 - 1969-01-01	Arts & Sciences V Collection	Art & Art History ; Arts	243886236	2008-236259
Acta Botánica Venezuélica	0084-5906		1965-01-01	1	1	2012-01-01	35	1	http://www.jstor.org/journal/actabotavene		actabotavene	P4Y	fulltext		Instituto Experimental Jardín Botánico "Dr. Tobías Lasser"	serial								P	1965-01-01 - 2012-01-01	Iberoamérica Collection ; Ecology & Botany II Collection	Botany & Plant Sciences ; Science & Mathematics	54703035	
Acta Classica	0065-1141	2227-538X	1958-01-01	1		2012-01-01	55		http://www.jstor.org/journal/actaclassica		actaclassica	P4Y	fulltext		Classical Association of South Africa	serial								P	1958-01-01 - 2012-01-01	Arts & Sciences XV Collection	Classical Studies ; Humanities	65176496	2006267568
Acta Criminologica	0065-1168	1718-3243	1968-01-01	1		1974-01-01	7		http://www.jstor.org/journal/actacrim		actacrim		fulltext		Presses de l’Université de Montréal	serial						criminologie		P	1968-01-01 - 1974-01-01	Arts & Sciences XII Collection	Criminology & Criminal Justice ; Law ; Social Sciences ; Sociology	646977178	
Acta Historica Academiae Scientiarum Hungaricae	0001-5849	2064-7182	1951-01-01	1	1	1989-01-01	35	1/4	http://www.jstor.org/journal/actahistacadscie		actahistacadscie		fulltext		Institute of History, Research Centre for the Humanities, Hungarian Academy of Sciences	serial						hunghistrevi		P	1951-01-01 - 1989-01-01	Arts & Sciences XIII Collection	History ; History	609720755	
Acta Musicologica	0001-6241		1931-01-01	3	1	2012-01-01	84	2	http://www.jstor.org/journal/actamusicologica		actamusicologica	P4Y	fulltext		International Musicological Society	serial							mittintegesemusi	P	1931-01-01 - 2012-01-01	Music Legacy Collection ; Arts & Sciences III Collection ; Music Collection	Arts ; Music	53171967	2011-236606
Acta Oeconomica	0001-6373		1966-01-01	1	1/2	2010-12-01	60	4	http://www.jstor.org/journal/actaoeco		actaoeco	P6Y	fulltext		Akadémiai Kiadó	serial								P	1966-01-01 - 2010-12-01	Business & Economics Collection ; Arts & Sciences IX Collection ; Business III Collection	Business ; Business & Economics ; Economics	567441129	2011234196
Acta Orientalia Academiae Scientiarum Hungaricae	0001-6446	1588-2667	1950-01-01	1	1	2010-12-01	63	4	http://www.jstor.org/journal/actaorieacadscie		actaorieacadscie	P6Y	fulltext		Akadémiai Kiadó	serial								P	1950-01-01 - 2010-12-01	Asia Collection ; Arts & Sciences XII Collection	Area Studies ; Asian Studies ; Middle East Studies	60623521	2007-233671
Acta Sociologica	0001-6993		1955-01-01	1	1	2012-12-01	55	4	http://www.jstor.org/journal/actasoci		actasoci	P4Y	fulltext		Sage Publications, Ltd.	serial								P	1955-01-01 - 2012-12-01	Arts & Sciences VII Collection ; Corporate & For-Profit Access Initiative Collection	Social Sciences ; Sociology	51540545	2007-233684
Acta Turistica	0353-4316	1848-6061	1989-01-01	1	1	2013-12-01	25	2	http://www.jstor.org/journal/actaturistica		actaturistica	P3Y	fulltext		Faculty of Economics and Business, University of Zagreb	serial								P	1989-01-01 - 2013-12-01	Arts & Sciences X Collection	Social Sciences ; Sociology	299071501	
Administrative Law Bulletin	2157-1147		1949-01-10	1	1	1960-04-01	12		http://www.jstor.org/journal/adminlawbull		adminlawbull		fulltext		American Bar Association	serial						adminlawrev		P	1949-01-10 - 1960-04-01	Arts & Sciences XII Collection	Law ; Law	55848065	2009-268195
Administrative Law Review	0001-8368		1960-10-01	13		2012-10-01	64	4	http://www.jstor.org/journal/adminlawrev		adminlawrev	P4Y	fulltext		American Bar Association	serial							adminlawbull	P	1960-10-01 - 2012-10-01	Arts & Sciences XII Collection	Law ; Law	60355875	2009-268196
Administrative Science Quarterly	0001-8392		1956-06-01	1	1	2012-12-01	57	4	http://www.jstor.org/journal/admisciequar		admisciequar	P4Y	fulltext		Sage Publications, Inc.	serial								P	1956-06-01 - 2012-12-01	For-Profit Academic Arts & Sciences IV Collection ; Arts & Sciences IV Collection ; Business & Economics Collection ; Corporate & For-Profit Access Initiative Collection ; Business I Collection	Business ; Business & Economics ; Management & Organizational Behavior ; Public Policy & Administration ; Social Sciences ; Sociology	48418629	2001-227349
Administrative Theory & Praxis	1084-1806		1993-01-01	15	1	2008-12-01	30	4	http://www.jstor.org/journal/admintheoprax		admintheoprax	P8Y	fulltext		Taylor & Francis, Ltd.	serial							dialogue	P	1993-01-01 - 2008-12-01	Arts & Sciences X Collection ; Business & Economics Collection ; Corporate & For-Profit Access Initiative Collection ; Business III Collection	Business ; Business & Economics ; Public Policy & Administration ; Social Sciences	60627160	2009-201531
Advances in Applied Probability	0001-8678		1969-04-01	1	1	2012-12-01	44	4	http://www.jstor.org/journal/advaapplprob		advaapplprob	P4Y	fulltext		Applied Probability Trust	serial								P	1969-04-01 - 2012-12-01	Arts & Sciences VII Collection ; Mathematics & Statistics Legacy Collection ; Mathematics & Statistics Collection ; Corporate & For-Profit Access Initiative Collection	Science & Mathematics ; Statistics	49896882	2005 237200
Advances in Archaeological Method and Theory	0162-8003		1978-01-01	1		1987-01-01	11		http://www.jstor.org/journal/advarchmeththeo		advarchmeththeo		fulltext		Springer	serial						archmeththeo		P	1978-01-01 - 1987-01-01	Arts & Sciences VI Collection	Archaeology ; Social Sciences	432334052	2009-235461
Advances in Horticultural Science	0394-6169	1592-1573	1987-01-01	1	1	2012-01-01	26	3/4	http://www.jstor.org/journal/advahortscie		advahortscie	P4Y	fulltext		Dipartimento Di Scienze Delle Produzioni Vegetali, Del Suolo E Dell'Ambiente Agroforestale – DiPSA – University of Florence	serial							riviortoital	P	1987-01-01 - 2012-01-01	Ecology & Botany II Collection	Botany & Plant Sciences ; Horticulture ; Science & Mathematics	60618602	
Advances in Sex Research	1934-5984		1963-10-01	1		1963-10-01	1		http://www.jstor.org/journal/advasexrese		advasexrese		fulltext		Taylor & Francis, Ltd.	serial						jsexresearch		P	1963-10-01	Arts & Sciences VII Collection ; Corporate & For-Profit Access Initiative Collection	Health Policy ; Medicine & Allied Health ; Social Sciences ; Sociology	123208775	2007-234124
Advancing the Consumer Interest	1044-7385	2377-4800	1989-01-01	1	1	2001-10-01	13	1/2	http://www.jstor.org/journal/advaconsinte		advaconsinte		fulltext		Wiley	serial							jconsaffa	P	1989-01-01 - 2001-10-01	Business IV Collection ; Business & Economics Collection	Business ; Business & Economics	61312382	2011236505
Advisory Council Bulletin (Music Teachers' National Association)	2380-9043	2470-1327	1936-12-01	1	1	1937-12-01	2	1	http://www.jstor.org/journal/advicounbull		advicounbull		fulltext		Music Teachers National Association	serial						bullmusiteacnati		P	1936-12-01 - 1937-12-01	Music Collection ; Arts & Sciences XIII Collection	Arts ; Education ; Music ; Social Sciences	931859898	
The Advocate of Peace (1837-1845)	2154-8382		1837-06-01	1	1	1845-11-01	6	11/12	http://www.jstor.org/journal/advopeace1837		advopeace1837		fulltext		World Affairs Institute	serial						advopeacunivbro	advopeace1834	P	1837-06-01 - 1845-11-01	Arts & Sciences VI Collection ; Corporate & For-Profit Access Initiative Collection	International Relations ; Social Sciences	55938736	2006255467
Advocate of Peace (1847-1884)	2154-8390		1847-01-01	7	1/2	1884-06-01	15	3	http://www.jstor.org/journal/advopeace1847		advopeace1847		fulltext		World Affairs Institute	serial						amadvopeacarbi	advopeacunivbro	P	1847-01-01 - 1884-06-01	Arts & Sciences VI Collection ; Corporate & For-Profit Access Initiative Collection	International Relations ; Political Science ; Social Sciences	55938737	20066255469
The Advocate of Peace (1894-1920)	2155-7799		1894-01-01	56	1	1920-02-01	82	2	http://www.jstor.org/journal/advopeac1894		advopeac1894		fulltext		World Affairs Institute	serial						advopeacjust	amadvopeace	P	1894-01-01 - 1920-02-01	Arts & Sciences VI Collection ; Corporate & For-Profit Access Initiative Collection	International Relations ; Political Science ; Social Sciences	680372617	2010-235355
The Advocate of Peace and Universal Brotherhood	2154-8420		1846-01-01	1	1	1846-12-01	1	12	http://www.jstor.org/journal/advopeacunivbro		advopeacunivbro		fulltext		World Affairs Institute	serial						advopeace1847	advopeace1837	P	1846-01-01 - 1846-12-01	Arts & Sciences VI Collection ; Corporate & For-Profit Access Initiative Collection	International Relations ; Political Science ; Social Sciences	55938743	2006255468
Advocate of Peace through Justice	2155-7802		1920-03-01	82	3	1932-03-01	94	1	http://www.jstor.org/journal/advopeacjust		advopeacjust		fulltext		World Affairs Institute	serial						worldaffairs	advopeac1894	P	1920-03-01 - 1932-03-01	Arts & Sciences VI Collection ; Corporate & For-Profit Access Initiative Collection	International Relations ; Political Science ; Social Sciences	657159346	2010-235354
Aegyptus	0001-9046	1827-7888	1920-01-01	1	1	2010-01-01	90		http://www.jstor.org/journal/aegy		aegy	P6Y	fulltext		Vita e Pensiero – Pubblicazioni dell’Università Cattolica del Sacro Cuore	serial							studscuopapi	P	1920-01-01 - 2010-01-01	Arts & Sciences IX Collection	Archaeology ; Social Sciences	613122089	2012235035
Aequatoria	0304-257X		1937-06-26	1	1	1962-01-01	25	4	http://www.jstor.org/journal/aequatoria		aequatoria		fulltext	Publication of this title ceased in 2009.	Honoré Vinck	serial						annaaequ		P	1937-06-26 - 1962-01-01	Arts & Sciences IX Collection	African Studies ; Area Studies	647576801	2012-236377
Aevum	0001-9593		1927-01-01	1	1/2	2010-09-01	84	3	http://www.jstor.org/journal/aevum		aevum	P6Y	fulltext		Vita e Pensiero – Pubblicazioni dell’Università Cattolica del Sacro Cuore	serial								P	1927-01-01 - 2010-09-01	Arts & Sciences XI Collection	History ; History ; Linguistics ; Social Sciences	60627847	2011-263306
Afers Internacionals	0212-1786		1982-04-01		0	1985-04-01		6	http://www.jstor.org/journal/aferinte		aferinte		fulltext		CIDOB	serial						revcidafeint		P	1982-04-01 - 1985-04-01	Iberoamérica Collection ; Arts & Sciences IX Collection	International Relations ; Political Science ; Social Sciences	190707052	2008262203
Africa Development / Afrique et Développement	0850-3907		1976-05-01	1	1	2014-01-01	39	1	http://www.jstor.org/journal/afrdevafrdev		afrdevafrdev	P1Y	fulltext		CODESRIA	serial								P	1976-05-01 - 2014-01-01	Arts & Sciences XIV Collection	African Studies ; Area Studies ; Business & Economics ; Development Studies	85855887	2015233595
Africa: Journal of the International African Institute	0001-9720	1750-0184	1928-01-01	1	1	2010-01-01	80	4	http://www.jstor.org/journal/afrijinteafriins		afrijinteafriins	P6Y	fulltext		Cambridge University Press	serial								P	1928-01-01 - 2010-01-01	Arts & Sciences VII Collection ; Corporate & For-Profit Access Initiative Collection	African Studies ; Area Studies	50238863	2004-237166
Africa: Rivista trimestrale di studi e documentazione dell'Istituto italiano per l'Africa e l'Oriente	0001-9747		1950-03-01	5	3/4	2009-07-01	64	3/4	http://www.jstor.org/journal/africa2		africa2		fulltext	Publication of this title ceased in 2009	Istituto Italiano per l'Africa e l'Oriente (IsIAO)	serial								P	1950-03-01 - 2009-07-01	Arts & Sciences IX Collection	African Studies ; Area Studies	746593240	2011-235847
Africa Spectrum	0002-0397		1966-01-01	1	1	2012-01-01	47	2/3	http://www.jstor.org/journal/africaspec		africaspec	P4Y	fulltext		Institute of African Affairs at GIGA, Hamburg/Germany	serial								P	1966-01-01 - 2012-01-01	Arts & Sciences VI Collection	African Studies ; Area Studies	316257973	2009235670
Africa Today	0001-9887	1527-1978	1954-04-01	1	1	2012-12-01	59	2	http://www.jstor.org/journal/africatoday		africatoday	P4Y	fulltext		Indiana University Press	serial								P	1954-04-01 - 2012-12-01	Arts & Sciences VI Collection ; Indiana University Press Package ; African & African American Studies Discipline Package ; Corporate & For-Profit Access Initiative Collection	African Studies ; Area Studies	42388177	sn 99004666
African Affairs	0001-9909	1468-2621	1944-07-01	43	172	2010-10-01	109	437	http://www.jstor.org/journal/africanaffairs		africanaffairs	P6Y	fulltext		Oxford University Press	serial							jroyaafrisoci	P	1944-07-01 - 2010-10-01	Arts & Sciences II Collection	African Studies ; Area Studies	51206437	2002-227380
African American Review	1062-4783		1992-04-01	26	1	2012-12-01	45	4	http://www.jstor.org/journal/afriamerrevi		afriamerrevi	P4Y	fulltext		African American Review (St. Louis University)	serial							blacamerliteforu	P	1992-04-01 - 2012-12-01	Arts & Sciences I Collection ; Corporate & For-Profit Access Initiative Collection ; Language & Literature Collection	African American Studies ; American Studies ; Area Studies ; Humanities ; Language & Literature	40892739	sn99-23369
The African Archaeological Review	0263-0338	1572-9842	1983-01-01	1		2012-12-01	29	4	http://www.jstor.org/journal/afriarchrevi		afriarchrevi	P4Y	fulltext		Springer	serial								P	1983-01-01 - 2012-12-01	Arts & Sciences VI Collection	African Studies ; Archaeology ; Area Studies ; Social Sciences	44513179	2004-233336
African Arts	0001-9933		1967-10-01	1	1	2010-12-01	43	4	http://www.jstor.org/journal/africanarts		africanarts	P6Y	fulltext		UCLA James S. Coleman African Studies Center	serial								P	1967-10-01 - 2010-12-01	Arts & Sciences VII Collection ; Corporate & For-Profit Access Initiative Collection	African Studies ; Area Studies ; Art & Art History ; Arts	38364090	2006-236965
African Conflict and Peacebuilding Review	2156-695X	2156-7263	2011-04-01	1	1	2012-10-01	2	2	http://www.jstor.org/journal/africonfpeacrevi		africonfpeacrevi	P4Y	fulltext		Indiana University Press	serial								P	2011-04-01 - 2012-10-01	Indiana University Press Package ; African & African American Studies Discipline Package ; Corporate & For-Profit Access Initiative Collection ; Arts & Sciences IX Collection	African Studies ; Area Studies	651009014	2010-202054
African Economic History	0145-2258		1976-04-01		1	2012-01-01	40		http://www.jstor.org/journal/afrieconhist		afrieconhist	P4Y	fulltext		African Studies Program, University of Wisconsin-Madison	serial							afrieconhistrevi	P	1976-04-01 - 2012-01-01	Arts & Sciences VII Collection ; Business & Economics Collection	African Studies ; Area Studies ; Business & Economics ; Economics ; History ; History	60619248	2006-237056
African Economic History Review	0360-6333		1974-04-01	1	1	1975-10-01	2	2	http://www.jstor.org/journal/afrieconhistrevi		afrieconhistrevi		fulltext		African Studies Program, University of Wisconsin-Madison	serial						afrieconhist		P	1974-04-01 - 1975-10-01	Arts & Sciences VII Collection ; Business & Economics Collection	African Studies ; Area Studies ; Business & Economics ; Economics ; History ; History	76886078	2006-237057
African Historical Studies	0001-9992		1968-01-01	1	1	1971-01-01	4	3	http://www.jstor.org/journal/afrihiststud		afrihiststud		fulltext		Boston University African Studies Center	serial						intejafrihiststu		P	1968-01-01 - 1971-01-01	Arts & Sciences II Collection	African Studies ; Area Studies ; History ; History	48537230	2001-227402
African Issues	1548-4505		2000-01-01	28	1/2	2003-01-01	31/32		http://www.jstor.org/journal/africanissues		africanissues		fulltext	Publication of this title ceased in 2003.	Cambridge University Press	serial							issuejopinion	P	2000-01-01 - 2003-01-01	Arts & Sciences VII Collection ; Corporate & For-Profit Access Initiative Collection	African Studies ; Area Studies	56137807	2004-236883
African Journal of Political Economy / Revue Africaine d'Economie Politique	1017-4974	2311-8997	1986-01-01	1	1	1990-01-01	2	5	http://www.jstor.org/journal/afrijpoliecon		afrijpoliecon		fulltext	Publication of this title ceased in 2004.	African Association of Political Science	serial						afrijpoliscie		P	1986-01-01 - 1990-01-01	Arts & Sciences VI Collection	African Studies ; Area Studies ; Political Science ; Social Sciences	85479416	
African Journal of Political Science / Revue Africaine de Science Politique	1027-0353	1726-3727	1996-06-01	1	1	2004-06-01	9	1	http://www.jstor.org/journal/afrijpoliscie		afrijpoliscie		fulltext	Publication of this title ceased in 2004.	African Association of Political Science	serial							afrijpoliecon	P	1996-06-01 - 2004-06-01	Arts & Sciences VI Collection	African Studies ; Area Studies ; Political Science ; Social Sciences	85449670	
African Journal of Reproductive Health / La Revue Africaine de la Santé Reproductive	1118-4841		1997-03-01	1	1	2013-12-01	17	4	http://www.jstor.org/journal/afrijreprhealrev		afrijreprhealrev	P3Y	fulltext		Women's Health and Action Research Centre (WHARC)	serial								P	1997-03-01 - 2013-12-01	Arts & Sciences VII Collection	Health Policy ; Medicine & Allied Health ; Population Studies ; Social Sciences	53907559	2006-237050
African Languages and Cultures	0954-416X		1988-01-01	1	1	1997-01-01	10	2	http://www.jstor.org/journal/afrilangcult		afrilangcult		fulltext		Taylor & Francis, Ltd.	serial						jafricultstud		P	1988-01-01 - 1997-01-01	Arts & Sciences III Collection ; Language & Literature Collection ; Corporate & For-Profit Access Initiative Collection	African Studies ; Area Studies ; Humanities ; Language & Literature	50709772	2002-227147
